Order_Number,Order_Date,Line_Item_Number,Quantity_Ordered,Price_Each,Sales,Status,Product_Category,Has_MSRP,Product_Code,Deal_Size,Customer_Name,Customer_ID,Customer_Status
10107,2018-02-24,2,108.0,300.24,22947.88,Shipped,Poultry,1,S10_1678,Small,COSTCO,81313,Active
10329,2019-11-15,1,139.0,300.24,29545.29,Shipped,Poultry,1,S10_1678,Medium,COSTCO,81313,Active
10107,2018-02-24,5,120.0,286.12,22067.15,Shipped,Poultry,1,S10_2016,Medium,COSTCO,81313,Active
10329,2019-11-15,2,115.0,286.12,21173.97,Shipped,Poultry,1,S10_2016,Medium,COSTCO,81313,Active
10107,2018-02-24,4,117.0,311.0,23934.16,Shipped,Poultry,1,S10_4698,Medium,COSTCO,81313,Active
10329,2019-11-15,3,133.0,311.0,27127.94,Shipped,Poultry,1,S10_4698,Medium,COSTCO,81313,Active
10248,2019-05-07,3,129.0,310.79,27556.87,Shipped,Fresh Produce Vegetables,1,S10_4757,Small,COSTCO,81313,Active
10329,2019-11-15,5,120.0,278.43,23145.67,Shipped,Fresh Produce Vegetables,1,S12_1099,Small,COSTCO,81313,Active
10107,2018-02-24,1,121.0,319.49,26558.4,Shipped,Poultry,1,S12_2823,Medium,COSTCO,81313,Active
10329,2019-11-15,6,144.0,319.49,31585.62,Shipped,Poultry,1,S12_2823,Medium,COSTCO,81313,Active
10329,2019-11-15,13,163.0,289.54,31720.61,Shipped,Fresh Produce Vegetables,1,S12_3380,Medium,COSTCO,81313,Active
10329,2019-11-15,14,132.0,263.16,23893.2,Shipped,Fresh Produce Vegetables,1,S12_3990,Medium,COSTCO,81313,Active
10292,2019-09-08,8,139.0,319.05,28827.94,Shipped,Pork,1,S12_4473,Small,COSTCO,81313,Active
10329,2019-11-15,15,162.0,296.21,32779.42,Shipped,Fresh Produce Vegetables,1,S12_4675,Small,COSTCO,81313,Active
10329,2019-11-15,9,131.0,292.78,23514.55,Shipped,Fresh Produce Vegetables,1,S18_1889,Small,COSTCO,81313,Active
10292,2019-09-08,7,106.0,319.87,22282.19,Shipped,Fresh Produce Vegetables,1,S18_2238,Medium,COSTCO,81313,Active
10292,2019-09-08,11,144.0,297.16,28427.31,Shipped,Pork,1,S18_2319,Medium,COSTCO,81313,Active
10107,2018-02-24,6,147.0,259.06,22951.65,Shipped,Poultry,1,S18_2625,Small,COSTCO,81313,Active
10329,2019-11-15,12,160.0,259.06,24971.57,Shipped,Poultry,1,S18_2625,Medium,COSTCO,81313,Active
10248,2019-05-07,1,130.0,253.18,22303.47,Shipped,Dairy,1,S18_3029,Small,COSTCO,81313,Active
